top - 16:34:57 up  1:40,  2 users,  load average: 3.26, 2.68, 1.77
Tasks: 118 total,   2 running,  99 sleeping,  17 stopped,   0 zombie
%Cpu(s):  0.0 us,  4.8 sy,  0.0 ni, 57.1 id, 33.3 wa,  4.8 hi,  0.0 si,  0.0 st
MiB Mem :   1827.1 total,   1680.4 free,     95.8 used,     50.8 buff/cache
MiB Swap:    820.0 total,    725.3 free,     94.7 used.   1632.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    656 root      20   0   94024   2536   2372 S   5.0   0.1   0:00.25 systemd-journal
      1 root      20   0  179216    304      0 S   0.0   0.0   0:01.34 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
      9 root      20   0       0      0      0 S   0.0   0.0   0:06.31 ksoftirqd/0
     10 root      20   0       0      0      0 R   0.0   0.0   0:00.47 rcu_sched
     11 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
     12 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdog/0
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     16 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.12 oom_reaper
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
     22 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     23 root      39  19       0      0      0 S   0.0   0.0   0:00.59 khugepaged
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     30 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     33 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/u2:1-flush-253:2
     47 root      20   0       0      0      0 S   0.0   0.0   0:04.57 kswapd0
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_rdacd
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    146 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    448 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    449 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh_0
